"is affecting public debates ","exists in some media types","exists across all media types","is easy to detect","is a problem"
"Y","Y","Y","N","Y"
"Y","Y","U","N","Y"
"Y","Y","Y","N","Y"
"Y","Y","Y","N","Y"
"Y","Y","Y","U","Y"
"Y","Y","U","N","Y"
"Y","Y","Y","N","Y"
"Y","Y","Y","U","Y"
"Y","Y","Y","N","Y"
"Y","Y","U","N","Y"
"Y","N","Y","N","Y"
"Y","Y","Y","N","Y"
"Y","Y","U","U","Y"
"Y","Y","Y","N","Y"
"Y","Y","U","U","Y"
"Y","Y","U","N","Y"
"Y","Y","Y","U","Y"
"Y","Y","N","U","Y"
"Y","Y","Y","U","Y"
"Y","Y","Y","N","Y"
"Y","Y","Y","N","Y"
"Y","U","Y","N","N"
"Y","Y","U","N","Y"
"Y","Y","Y","N","Y"
"Y","Y","U","U","Y"
"Y","Y","U","N","Y"
"Y","Y","Y","N","Y"
"Y","Y","Y","N","Y"
"Y","Y","U","N","Y"
"Y","U","Y","N","Y"
"Y","Y","U","N","Y"
"Y","Y","Y","N","Y"
"Y","U","Y","N","Y"
"Y","Y","Y","N","Y"
"U","Y","N","N","Y"
"Y","Y","U","N","Y"
"Y","Y","Y","U","Y"
"Y","N","Y","N","Y"
"Y","Y","N","N","Y"
"Y","Y","U","N","Y"
"Y","Y","Y","U","Y"
"Y","Y","Y","N","Y"
"Y","Y","U","U","Y"

