"How old are you?","My highest degree is:"
"30","A5"
"25","A5"
"31","A5"
"21","A2"
"23","A2"
"19","A2"
"28","A3"
"","A4"
"27","A4"
"24","A2"
"30","A5"
"31","A4"
"59","A6"
"27","A4"
"25","A4"
"21","A2"
"28","A4"
"25","A4"
"61","A6"
"24","A4"
"30","A5"
"62","A5"
"22","A2"
"24","A5"
"25","A5"
"27","A4"
"21","A2"
"24","A4"
"22","A3"
"24","A4"
"22","A2"
"","A4"
"24","A4"
"23","A4"
"27","A5"
"26","A4"
"23","A2"
"28","A5"
"23","A2"
"28","A5"
"29",""
"55","A5"
"27","A4"

