Response ID;Date submitted;Last page;Start language;Date started;Date last action;Misinformation ...  [is affecting public debates.];Misinformation ...  [exists in some media types.];Misinformation ...  [exists across all media types.];Misinformation ...  [is easy to detect.];Misinformation ...  [is a problem.];I think a scientific accuracy score is [helpful];I think a scientific accuracy score is [innovative];I think a scientific accuracy score is [trivial];I think a scientific accuracy score is [insignificant];I think a scientific accuracy score is [necessary];I think a scientific accuracy score is [confusing];Please rank the following options in order of importance for your acceptance of a scientific accuracy score.  [Rank 1];Please rank the following options in order of importance for your acceptance of a scientific accuracy score.  [Rank 2];Please rank the following options in order of importance for your acceptance of a scientific accuracy score.  [Rank 3];Please rank the following options in order of importance for your acceptance of a scientific accuracy score.  [Rank 4];Please rank the following options in order of importance for your acceptance of a scientific accuracy score.  [Rank 5];Please rank the following options in order of importance for your acceptance of a scientific accuracy score.  [Rank 6];Please rank the following options in order of importance for your acceptance of a scientific accuracy score.  [Rank 7];I think the tool in the current state is: [helpful];I think the tool in the current state is: [innovative];I think the tool in the current state is: [trivial];I think the tool in the current state is: [insignificant];I think the tool in the current state is: [necessary];I think the tool in the current state is: [confusing];I think the tool in the current state is: [transparent];I would like to use this tool to check [newspaper articles];"I would like to use this tool to check [electoral programme (""Wahlprogramm"")]";I would like to use this tool to check [draft laws];I would like to use this tool to check [political speeches];I would like to use this tool to check [blog posts / tweets];I would like to use this tool to check [texts I have written myself];I would like to use this tool to check [short viral clips for example on TikTok, Instagram];I would like to use this tool to check [long video essays for example on YouTube];I would like to use this tool to check [audios for example podcasts];I would like to use this tool as a [app];I would like to use this tool as a [website];I would like to use this tool as a [desktop application];I would like to use this tool as a [browser plugin];Do you have any other comments, thoughts or ideas?;How old are you?;I am experienced in the following area: [journalism];I am experienced in the following area: [politics];I am experienced in the following area: [science];I am experienced in the following area: [climate science];I am experienced in the following area: [science communication];I am experienced in the following area: [natural language processing];I am experienced in the following area: [knowledge management];I am experienced in the following area: [computer science];"I am experienced in the following area: [digital devices &amp; applications]";My highest degree is:;Total time;Group time: Questions - concept;Question time: A4;Question time: A0;Group time: Questions - current State;Question time: A3;Question time: A1;Group time: Questions - future use;Question time: B1;Question time: B2;Question time: B3;Group time: Personal Information;Question time: C2;Question time: C3;Question time: C4
1;2024-04-05 11:48:45;4;en;2024-04-05 11:42:50;2024-04-05 11:48:45;Yes;Yes;Yes;No;Yes;agree;agree;disagree;disagree;agree;disagree;the calculation of the score is transparent;the sources that lead to the score are linked;the sources that lead to the score are displayed;the score is > 90 % free from errors;statements with keywords are scored (keywords are edited personally);every statement is scored;the score is > 50 % free from errors;agree;agree;disagree;disagree;agree;disagree;agree;agree;agree;agree;agree;agree;strongly agree;agree;agree;agree;agree;agree;neither agree nor disagree;strongly agree;;30;neither agree nor disagree;neither agree nor disagree;agree;neither agree nor disagree;neither agree nor disagree;agree;agree;agree;agree;Master’s degree;357.23;104.65;;;139.27;;;72.82;;;;40.49;;;
2;2024-04-05 11:56:26;4;en;2024-04-05 11:46:03;2024-04-05 11:56:26;Yes;Yes;Uncertain;No;Yes;agree;strongly agree;disagree;disagree;agree;disagree;the calculation of the score is transparent;the score is > 90 % free from errors;the sources that lead to the score are linked;statements with keywords are scored (keywords are edited personally);the sources that lead to the score are displayed;every statement is scored;the score is > 50 % free from errors;neither agree nor disagree;agree;disagree;neither agree nor disagree;agree;disagree;agree;agree;agree;agree;agree;strongly agree;neither agree nor disagree;agree;agree;agree;agree;strongly agree;agree;strongly agree;If for example an article on a certain topic is scored to be mostly inaccurate, it would be helpful to link another article about the same topic that has been scored as more accurate (meaning: mostly accurate).;25;disagree;disagree;disagree;disagree;disagree;disagree;disagree;disagree;agree;Master’s degree;624.97;95.76;;;274.31;;;187.76;;;;67.14;;;
3;2024-04-05 11:58:46;4;en;2024-04-05 11:48:57;2024-04-05 11:58:45;Yes;Yes;Yes;No;Yes;strongly agree;strongly agree;disagree;strongly disagree;strongly agree;neither agree nor disagree;the calculation of the score is transparent;the score is > 90 % free from errors;the sources that lead to the score are linked;the sources that lead to the score are displayed;statements with keywords are scored (keywords are edited personally);the score is > 50 % free from errors;every statement is scored;agree;strongly agree;disagree;strongly disagree;agree;disagree;agree;strongly agree;strongly agree;neither agree nor disagree;agree;agree;neither agree nor disagree;agree;agree;agree;strongly agree;disagree;agree;agree;;31;disagree;neither agree nor disagree;agree;neither agree nor disagree;agree;agree;neither agree nor disagree;disagree;disagree;Master’s degree;590.11;124.14;;;340.41;;;77.55;;;;48.01;;;
4;2024-04-05 12:17:16;4;en;2024-04-05 11:54:04;2024-04-05 12:17:16;Yes;Yes;Yes;No;Yes;strongly agree;agree;disagree;strongly disagree;strongly agree;disagree;the score is > 90 % free from errors;the score is > 50 % free from errors;every statement is scored;statements with keywords are scored (keywords are edited personally);the sources that lead to the score are linked;the calculation of the score is transparent;the sources that lead to the score are displayed;agree;agree;disagree;strongly disagree;agree;disagree;neither agree nor disagree;strongly agree;agree;neither agree nor disagree;strongly agree;agree;agree;neither agree nor disagree;neither agree nor disagree;agree;strongly agree;agree;agree;agree;;21;disagree;agree;neither agree nor disagree;agree;disagree;disagree;disagree;strongly disagree;disagree;High school;1393.86;344.4;;;499.07;;;201.84;;;;348.55;;;
5;2024-04-05 12:02:39;4;en;2024-04-05 11:58:54;2024-04-05 12:02:39;Yes;Yes;Yes;Uncertain;Yes;agree;neither agree nor disagree;disagree;strongly disagree;strongly agree;disagree;every statement is scored;the score is > 90 % free from errors;the calculation of the score is transparent;the sources that lead to the score are displayed;the sources that lead to the score are linked;statements with keywords are scored (keywords are edited personally);the score is > 50 % free from errors;agree;agree;disagree;strongly disagree;agree;disagree;neither agree nor disagree;strongly agree;strongly agree;agree;strongly agree;strongly agree;strongly agree;strongly agree;strongly agree;strongly agree;strongly agree;disagree;strongly agree;strongly agree;;23;neither agree nor disagree;agree;disagree;agree;disagree;disagree;disagree;disagree;disagree;High school;228.31;61.83;;;104.77;;;35.73;;;;25.98;;;
6;2024-04-05 12:19:31;4;en;2024-04-05 12:10:39;2024-04-05 12:19:31;Yes;Yes;Uncertain;No;Yes;strongly agree;strongly agree;agree;strongly disagree;strongly agree;strongly disagree;the score is > 90 % free from errors;the sources that lead to the score are linked;the calculation of the score is transparent;statements with keywords are scored (keywords are edited personally);the sources that lead to the score are displayed;every statement is scored;the score is > 50 % free from errors;strongly agree;agree;agree;strongly disagree;strongly agree;disagree;agree;strongly agree;agree;strongly agree;agree;strongly agree;agree;neither agree nor disagree;neither agree nor disagree;neither agree nor disagree;agree;neither agree nor disagree;strongly agree;agree;It should be very easy to use, i shpuldnt need to open a new widow/ app to check the sentences. It should happen automatically ;19;neither agree nor disagree;agree;;agree;neither agree nor disagree;;;;;High school;534.89;119.8;;;220.62;;;159.99;;;;34.48;;;
7;2024-04-05 12:17:15;4;en;2024-04-05 12:11:20;2024-04-05 12:17:15;Yes;Yes;Yes;No;Yes;agree;agree;neither agree nor disagree;strongly disagree;agree;strongly disagree;the calculation of the score is transparent;the sources that lead to the score are displayed;the sources that lead to the score are linked;the score is > 90 % free from errors;every statement is scored;statements with keywords are scored (keywords are edited personally);the score is > 50 % free from errors;neither agree nor disagree;neither agree nor disagree;disagree;disagree;agree;neither agree nor disagree;agree;agree;strongly agree;strongly agree;strongly agree;neither agree nor disagree;agree;agree;strongly agree;agree;disagree;agree;neither agree nor disagree;strongly agree;;28;disagree;strongly agree;agree;agree;disagree;strongly disagree;disagree;agree;neither agree nor disagree;Trade school;356.55;72.15;;;175.89;;;66.49;;;;42.02;;;
8;2024-04-05 12:23:23;4;en;2024-04-05 12:19:01;2024-04-05 12:23:23;Yes;Yes;Yes;Uncertain;Yes;agree;strongly disagree;agree;strongly disagree;strongly disagree;strongly agree;the calculation of the score is transparent;the sources that lead to the score are displayed;the sources that lead to the score are linked;statements with keywords are scored (keywords are edited personally);every statement is scored;the score is > 50 % free from errors;the score is > 90 % free from errors;agree;strongly agree;neither agree nor disagree;neither agree nor disagree;agree;neither agree nor disagree;agree;agree;strongly agree;agree;strongly agree;agree;agree;neither agree nor disagree;agree;strongly agree;strongly agree;strongly agree;agree;agree;;;disagree;neither agree nor disagree;agree;strongly agree;neither agree nor disagree;neither agree nor disagree;neither agree nor disagree;strongly disagree;agree;Bachelor’s degree;264.23;51.65;;;101.93;;;65.02;;;;45.63;;;
9;2024-04-05 12:46:01;4;en;2024-04-05 12:35:45;2024-04-05 12:46:01;Yes;Yes;Yes;No;Yes;agree;strongly agree;strongly disagree;agree;neither agree nor disagree;disagree;the score is > 90 % free from errors;the calculation of the score is transparent;the sources that lead to the score are displayed;the sources that lead to the score are linked;every statement is scored;statements with keywords are scored (keywords are edited personally);the score is > 50 % free from errors;neither agree nor disagree;neither agree nor disagree;neither agree nor disagree;neither agree nor disagree;neither agree nor disagree;neither agree nor disagree;neither agree nor disagree;strongly agree;agree;neither agree nor disagree;neither agree nor disagree;agree;agree;agree;agree;agree;disagree;agree;disagree;strongly agree;;27;agree;strongly agree;agree;agree;neither agree nor disagree;strongly disagree;strongly disagree;strongly disagree;disagree;Bachelor’s degree;617.9;144.45;;;257.64;;;148.65;;;;67.16;;;
11;2024-04-05 13:31:38;4;en;2024-04-05 13:20:16;2024-04-05 13:31:38;Yes;Yes;Uncertain;No;Yes;strongly agree;agree;neither agree nor disagree;strongly disagree;agree;agree;the sources that lead to the score are linked;the sources that lead to the score are displayed;the calculation of the score is transparent;the score is > 90 % free from errors;the score is > 50 % free from errors;every statement is scored;statements with keywords are scored (keywords are edited personally);neither agree nor disagree;agree;neither agree nor disagree;neither agree nor disagree;neither agree nor disagree;strongly agree;disagree;strongly agree;strongly agree;strongly agree;strongly agree;strongly agree;strongly agree;strongly agree;strongly agree;strongly agree;strongly agree;strongly agree;neither agree nor disagree;agree;;24;agree;strongly agree;agree;strongly agree;agree;agree;agree;strongly disagree;disagree;High school;682.82;123.49;;;411.19;;;75.08;;;;73.06;;;
