"newspaper articles","electoral programme","draft laws","political speeches","blog posts / tweets","texts I have written myself","short viral clips (TikTok, Instagram)","long video essays (YouTube)","audios for example podcasts"
"A2","A2","A2","A2","A2","A1","A2","A2","A2"
"A2","A2","A2","A2","A1","A3","A2","A2","A2"
"A1","A1","A3","A2","A2","A3","A2","A2","A2"
"A1","A2","A3","A1","A2","A2","A3","A3","A2"
"A1","A1","A2","A1","A1","A1","A1","A1","A1"
"A1","A2","A1","A2","A1","A2","A3","A3","A3"
"A2","A1","A1","A1","A3","A2","A2","A1","A2"
"A2","A1","A2","A1","A2","A2","A3","A2","A1"
"A1","A2","A3","A3","A2","A2","A2","A2","A2"
"A1","A1","A1","A1","A1","A1","A1","A1","A1"
"A1","A1","A2","A1","A2","A2","A2","A2","A2"
"A2","A1","A1","A1","A1","A2","A1","A2","A1"
"A1","A1","A1","A1","A2","A1","A2","A1","A2"
"A2","A4","A2","A1","A1","A3","A1","A2","A1"
"A2","A1","A3","A2","A1","A3","A2","A2","A2"
"A2","A2","A3","A1","A1","A2","A1","A1","A2"
"A1","A1","A3","A2","A2","A3","A3","A3","A4"
"A2","A2","A4","A2","A1","A3","A1","A2","A2"
"A1","A1","A3","A2","A2","A2","A2","A2","A2"
"A1","A1","A4","A4","A1","A3","A1","A2","A2"
"A1","A1","A3","A1","A2","A4","A2","A2","A3"
"A2","A2","A2","A2","A2","A5","A2","A2","A2"
"A2","A1","A1","A1","A3","A2","A2","A3","A3"
"A2","A3","A2","A2","A3","A2","A3","A3","A3"
"A2","A2","A2","A1","A1","A1","A2","A2","A2"
"A2","A2","A3","A2","A2","A2","A2","A2","A2"
"A2","A2","A3","A2","A2","A4","A2","A4","A4"
"A3","A3","A4","A4","A2","A4","A2","A2","A2"
"A1","A2","A3","A1","A1","A3","A1","A1","A2"
"A1","A1","A2","A2","A2","A3","A2","A2","A2"
"A1","A1","A3","A2","A2","A1","A1","A4","A4"
"A2","A2","A2","A2","A4","A4","A4","A4","A2"
"A2","A1","A3","A1","A1","A2","A1","A2","A1"
"A2","A1","A1","A1","A1","A2","A3","A1","A2"
"A3","A2","A2","A3","A4","A2","A5","A2","A2"
"A2","A1","A2","A1","A1","A1","A2","A2","A2"
"A1","A2","A4","A2","A2","A2","A2","A3","A3"
"A1","A1","A1","A1","A2","A1","A1","A2","A1"
"A1","A1","A4","A3","A4","A2","A2","A3","A4"
"A2","A2","A3","A3","A2","A4","A4","A4","A4"
"A3","A3","A4","A2","A2","A3","A2","A4","A4"
"A1","A1","A2","A2","A1","A2","A2","A2","A2"
"A1","A1","A1","A1","A3","A3","A3","A1","A1"

